Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF,x_mni,y_mni,z_mni
1,Superior frontal sulcus,DefaultB,DefaultA,0.6899956156495173,0.1857091944832086,0.1168844549891865,-2.639437537343966,28.712991365037652,46.6886647194743
2,Fusiform gyrus,No network found,No network found,0.8447325231765037,0.0210264314186208,0.1337885920145591,-0.12786655442293693,-61.882987610887355,-17.884363512432024
3,Calcarine cortex posterior,VisCent,VisPeri,0.601767818274053,0.3020671197728652,0.0912973216275698,1.0446490357373364,-90.87433068473202,1.325612866400661
4,Cingulate cortex posterior,DefaultB,DefaultA,0.7400859593248862,0.1403682852023949,0.1195668910655905,-1.1201058697312192,-54.462474331851894,26.42463139601017
5,Parieto-occipital sulcus superior,ContA,ContC,0.6401569112237818,0.2414921597679687,0.1178255491571258,0.9419766967729686,-60.85236311382559,34.08549845507635
6,Insula antero-superior,SalVentAttnA,SalVentAttnB,0.786372865071193,0.0641708001287409,0.1454907514939756,5.049801295428722,19.48187721354688,1.33758250209452
7,Superior temporal sulcus with angular gyrus,DefaultB,TempPar,0.7289689261090406,0.1935261833400308,0.0760887281183381,48.08290222942702,-39.90656246314525,8.29048236751568
8,Planum temporale,SomMotA,SomMotB,0.6698659209540166,0.1910266837459853,0.1333259830895164,-4.746257693182173,-21.339968744383327,10.090446942684622
9,Cerebellum Crus II,No network found,No network found,0.8185904861148258,0.1338739033486082,0.0454283141378654,-0.5496063743897253,-72.2311132396311,-29.336211451533785
10,Superior parts of Postcentral and Precentral gyri,SomMotA,DorsAttnB,0.3708748845575369,0.0620356909544703,0.1800623844186744,-8.821142938071887,-29.3512824767284,66.68827485510297
11,Transverse sinus,No network found,No network found,0.7683739104554709,0.0239671517048775,0.1895430075970938,-0.6451974955525799,-75.64360212427778,-21.9034770678933
12,Paracentral gyrus RH,SomMotA,SomMotA,0.5306374774591351,0.3479044488382695,0.1176783513756604,42.48920491287328,-24.812798287937667,54.067674636261756
13,Superior occipital gyrus,VisCent,VisPeri,0.5586152516127496,0.286970331837066,0.1186948925240844,0.9440439477855875,-90.12845022867754,29.25194596350117
14,Cingulate gyrus mid-posterior,DefaultB,ContC,0.7452027221344231,0.1145810445197474,0.1401896263361808,-0.14086127475145815,-51.77634937078584,38.148259310209994
15,ventricles,No network found,No network found,0.5967024501902108,0.2403387753233659,0.1629643683986001,-0.864398241684583,-5.265357725303602,16.64124885759051
16,Fusiform gyrus posterior,VisCent,VisCent,0.7626315127910275,0.1665671393414221,0.0681556545797025,-2.5450541635566566,-63.323648134071064,-13.718820936108003
17,Superior frontal gyrus medial,SalVentAttnA,SalVentAttnA,0.6587145979633471,0.0782550049318097,0.2547531180067294,-0.40164833496419305,12.058121478014755,53.30107226790747
18,Precuneus superior,DorsAttnB,ContC,0.5608419562056097,0.0595933700983726,0.2562661761850908,-0.27040507460375807,-67.33209238601061,57.52504139455067
19,Planum polare,SalVentAttnA,SomMotB,0.7553942181635669,0.0331071169214432,0.2060875317942941,4.5825964967070405,-2.468307949951452,2.232195619839999
20,Parieto-occipital sulcus middle,VisCent,VisPeri,0.590863624165701,0.2897505050215277,0.1186559192116607,2.9082011917090256,-75.8727796128039,29.123027949248993
21,Cerebellum I-V,No network found,No network found,0.7930338315508172,0.1813351524184182,0.0256220126561361,0.6041261265185796,-51.862199175631005,-23.924950280613352
22,Superior fornix and isthmus,No network found,DefaultC,0.395778158074814,0.0519283429645922,0.552281473643165,0.370815717784879,-33.28158986750168,4.301306660361874
23,Anterior Cingulate Cortex,DefaultB,SalVentAttnB,0.7826330767531011,0.075669798911679,0.1417165656818135,0.2632806309826776,34.77232005052355,22.15776659984951
24,Descending occipital gyrus,VisCent,VisCent,0.5837077720023389,0.3483014386740513,0.065312198400424,5.753880608497241,-86.13756502218172,15.146937332290776
25,Putamen,No network found,No network found,0.5931855707283495,0.4034573895272537,0.0033452801249732,0.005634757397118051,-3.010602976774919,1.680579330131991
